"date_of_data","domain","chatgpt_edu_activated_users","chatgpt_edu_mau_28d","api_enabled_users"
2025-04-20 00:00:00.000,"sdsu.edu",16145,9780,307
2025-04-20 00:00:00.000,"csun.edu",6232,4325,29
2025-04-20 00:00:00.000,"sjsu.edu",4740,880,698
2025-04-20 00:00:00.000,"csulb.edu",4700,3165,45
2025-04-20 00:00:00.000,"csumb.edu",2964,2182,80
2025-04-20 00:00:00.000,"cpp.edu",2688,2079,77
2025-04-20 00:00:00.000,"csueastbay.edu",2262,1458,22
2025-04-20 00:00:00.000,"calstatela.edu",2091,1514,61
2025-04-20 00:00:00.000,"csuchico.edu",2016,1097,35
2025-04-20 00:00:00.000,"sfsu.edu",2007,1539,46
2025-04-20 00:00:00.000,"csusb.edu",1850,1175,27
2025-04-20 00:00:00.000,"csub.edu",1533,987,25
2025-04-20 00:00:00.000,"csus.edu",1376,899,73
2025-04-20 00:00:00.000,"humboldt.edu",1175,579,68
2025-04-20 00:00:00.000,"mail.fresnostate.edu",678,426,155
2025-04-20 00:00:00.000,"co.calstate.edu",537,404,3
2025-04-20 00:00:00.000,"csudh.edu",438,288,11
2025-04-20 00:00:00.000,"csuci.edu",279,200,10
2025-04-20 00:00:00.000,"csum.edu",242,195,2
2025-04-20 00:00:00.000,"fullerton.edu",60,36,37
2025-04-20 00:00:00.000,"calpoly.edu",33,26,118
2025-04-20 00:00:00.000,"csustan.edu",25,18,14
2025-04-20 00:00:00.000,"csusm.edu",6,3,31
2025-04-20 00:00:00.000,"equeen.yourweb.csuchico.edu",0,0,0
2025-04-20 00:00:00.000,"csu.fullerton.edu",0,0,124
2025-04-20 00:00:00.000,"exchange.calstatela.edu",0,0,0
2025-04-20 00:00:00.000,"sonoma.edu",0,0,36
2025-04-20 00:00:00.000,"alumni.cpp.edu",0,0,1
2025-04-20 00:00:00.000,"cougars.csusm.edu",0,0,49
2025-04-20 00:00:00.000,"saclink.csus.edu",0,0,0
2025-04-20 00:00:00.000,"ubms.csudh.edu",0,0,0
2025-04-20 00:00:00.000,"cp.csudh.edu",0,0,0
2025-04-20 00:00:00.000,"gearup.csusb.edu",0,0,0
2025-04-20 00:00:00.000,"horizon.csueastbay.edu",0,0,60
2025-04-20 00:00:00.000,"mail.csuchico.edu",0,0,47
2025-04-20 00:00:00.000,"student.csulb.edu",0,0,28
2025-04-20 00:00:00.000,"asi.sfsu.edu",0,0,0
2025-04-20 00:00:00.000,"myci.csuci.edu",0,0,26
2025-04-20 00:00:00.000,"skymail.csus.edu",0,0,0
2025-04-20 00:00:00.000,"cce.csus.edu",0,0,0
2025-04-20 00:00:00.000,"cslanet.calstatela.edu",0,0,0
2025-04-20 00:00:00.000,"csufresno.edu",0,0,11
2025-04-20 00:00:00.000,"alumni.csusb.edu",0,0,0
2025-04-20 00:00:00.000,"upwardbound.csusb.edu",0,0,0
2025-04-20 00:00:00.000,"cs.csustan.edu",0,0,0
2025-04-20 00:00:00.000,"mlml.calstate.edu",0,0,0
2025-04-20 00:00:00.000,"toromail.csudh.edu",0,0,40
2025-04-20 00:00:00.000,"coyote.csusb.edu",0,0,42
2025-04-20 00:00:00.000,"mail.sdsu.edu",0,0,0
2025-04-20 00:00:00.000,"alumni.sonoma.edu",0,0,0
2025-04-20 00:00:00.000,"universe.sonoma.edu",0,0,0
2025-04-20 00:00:00.000,"calstate.edu",0,0,2
2025-04-20 00:00:00.000,"my.csun.edu",0,0,151
2025-04-20 00:00:00.000,"gsuite.cougars.csusm.edu",0,0,1
2025-04-20 00:00:00.000,"cdx.fresnostate.edu",0,0,0
2025-04-20 00:00:00.000,"alumni.calpoly.edu",0,0,1
2025-04-20 00:00:00.000,"seawolf.sonoma.edu",0,0,0
2025-04-20 00:00:00.000,"medicine.yourweb.csuchico.edu",0,0,0
2025-04-20 00:00:00.000,"mail.sfsu.edu",0,0,20
2025-04-20 00:00:00.000,"alumni.sfsu.edu",0,0,0
2025-04-20 00:00:00.000,"owp.csus.edu",0,0,0
