Campus,Total Users,Active Users,Adoption %,Latitude,Longitude
Chancellor's Office,800,522,65.3%,33.768,-118.195
San Diego,44957,15210,33.8%,32.7757,-117.0716
Monterey Bay,8534,2592,30.4%,36.6533,-121.7984
Sonoma,7018,1789,25.5%,38.3394,-122.6742
Maritime Academy,1102,232,21.1%,38.0685,-122.2342
East Bay,12756,1930,15.1%,37.6561,-122.0537
Northridge,41327,5433,13.1%,34.2381,-118.5286
Bakersfield,11428,1467,12.8%,35.3504,-119.1044
Pomona,30223,2364,7.8%,34.0584,-117.8231
Long Beach,46291,3322,7.2%,33.7838,-118.1141
Los Angeles,25735,1659,6.4%,34.0669,-118.1681
Channel Islands,5951,258,4.3%,34.1628,-119.0431
San Bernardino,20392,767,3.8%,34.1814,-117.3215
San Francisco,26108,764,2.9%,37.7219,-122.4782
Fresno,27334,667,2.4%,36.8131,-119.7475
Dominguez Hills,16131,342,2.1%,33.8644,-118.2546
Sacramento,34567,606,1.8%,38.561,-121.4231
Humboldt,7453,52,0.7%,40.8741,-124.0782
Chico,16776,99,0.6%,39.7285,-121.8375
Stanislaus,10792,24,0.2%,37.5247,-120.858
Fullerton,47285,53,0.1%,33.8826,-117.885
San José,37557,38,0.1%,37.3352,-121.8811
San Luis Obispo,26640,16,0.1%,35.3004,-120.6625
San Marcos,16629,5,0.0%,33.1305,-117.1607
