"date_of_data","domain","chatgpt_edu_activated_users","chatgpt_edu_mau_28d","api_enabled_users","chatgpt_edu_messages_l28d","Average Messages/Day"
2025-04-26 00:00:00.000,"sdsu.edu",16809,10088,309,1345406,4.763106094935992
2025-04-26 00:00:00.000,"sjsu.edu",7078,3604,707,179321,1.7770037260187093
2025-04-26 00:00:00.000,"csun.edu",6782,4594,29,541361,4.208602835997263
2025-04-26 00:00:00.000,"csulb.edu",5760,4242,45,327646,2.75852023977908
2025-04-26 00:00:00.000,"csumb.edu",3156,2356,80,211140,3.200642735871938
2025-04-26 00:00:00.000,"cpp.edu",2951,2244,77,277375,4.414549910873441
2025-04-26 00:00:00.000,"csuchico.edu",2577,1663,35,86335,1.854114766772614
2025-04-26 00:00:00.000,"csueastbay.edu",2461,1594,22,188068,4.21374798350959
2025-04-26 00:00:00.000,"csusb.edu",2375,1538,27,97807,2.2712010031580903
2025-04-26 00:00:00.000,"calstatela.edu",2374,1742,62,138197,2.8332991635230442
2025-04-26 00:00:00.000,"sfsu.edu",2347,1913,47,149830,2.797214547083862
2025-04-26 00:00:00.000,"csub.edu",1639,1053,25,112930,3.8302129968796637
2025-04-26 00:00:00.000,"csus.edu",1635,1197,73,77729,2.319160997732426
2025-04-26 00:00:00.000,"humboldt.edu",1329,768,68,42035,1.9547526041666665
2025-04-26 00:00:00.000,"mail.fresnostate.edu",690,421,157,36369,3.085256192738378
2025-04-26 00:00:00.000,"calpoly.edu",665,141,120,3152,0.7983789260385005
2025-04-26 00:00:00.000,"co.calstate.edu",546,419,3,34374,2.9299352199113535
2025-04-26 00:00:00.000,"csudh.edu",467,341,11,17906,1.875366568914956
2025-04-26 00:00:00.000,"csuci.edu",307,218,10,13801,2.2609764089121884
2025-04-26 00:00:00.000,"csum.edu",263,202,2,19379,3.4262729844413014
2025-04-26 00:00:00.000,"fullerton.edu",82,46,37,5218,4.051242236024845
2025-04-26 00:00:00.000,"csustan.edu",25,19,14,1524,2.8646616541353387
2025-04-26 00:00:00.000,"csusm.edu",6,3,31,26,0.3095238095238095
2025-04-26 00:00:00.000,"calstate.edu",0,0,2,0,NaN
2025-04-26 00:00:00.000,"sonoma.edu",0,0,36,0,NaN
2025-04-26 00:00:00.000,"cougars.csusm.edu",0,0,49,0,NaN
